contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
A130720C00028000,A,7/20/2013,call,28,A,13.2,,15.4,,0,0,6/28/2013,1,0,-0.0766,0,0.3259
A130720P00028000,A,7/20/2013,put,28,A,0,,0.03,,0,15,6/28/2013,0,0,-0.0036,0.001,0.4344
A130720C00029000,A,7/20/2013,call,29,A,13.7,,14.3,,0,0,6/28/2013,1,0,-0.0794,0,0.3259
A130720P00029000,A,7/20/2013,put,29,A,0,,0.03,,0,0,6/28/2013,-0.0001,0.0001,-0.0135,0.0036,0.4344
A130720C00030000,A,7/20/2013,call,30,A,12.35,,13.4,,0,0,6/28/2013,1,0,-0.0825,0.0001,0.3259
A130720P00030000,A,7/20/2013,put,30,A,0,,0.04,,0,0,6/28/2013,-0.0003,0.0002,-0.0429,0.0115,0.4344
A130720C00031000,A,7/20/2013,call,31,A,11.5,,13.05,,0,0,6/28/2013,1,0,-0.0872,0.0008,0.3259
A130720P00031000,A,7/20/2013,put,31,A,0,,0.05,,0,0,6/28/2013,-0.0009,0.0007,-0.1191,0.032,0.4344
A130720C00032000,A,7/20/2013,call,32,A,10.5,,11.05,,0,0,6/28/2013,0.9999,0.0001,-0.0989,0.0041,0.3259
A130720P00032000,A,7/20/2013,put,32,A,0.01,,0.06,,0,0,6/28/2013,-0.0024,0.0017,-0.292,0.0786,0.4344
A130720C00033000,A,7/20/2013,call,33,A,9.7,,10.4,,0,0,6/28/2013,0.9996,0.0005,-0.1352,0.0161,0.3259
A130720P00033000,A,7/20/2013,put,33,A,0,,0.07,,0,0,6/28/2013,-0.0058,0.0037,-0.6379,0.1718,0.4344
A130720C00034000,A,7/20/2013,call,34,A,8.75,,8.9,,0,0,6/28/2013,0.9984,0.0015,-0.2406,0.053,0.3259
A130720P00034000,A,7/20/2013,put,34,A,0.01,,0.07,,0,0,6/28/2013,-0.0126,0.0073,-1.2542,0.3379,0.4344
A130720C00035000,A,7/20/2013,call,35,A,7.75,,7.85,,10,0,6/28/2013,0.9951,0.0042,-0.5042,0.1467,0.3259
A130720P00035000,A,7/20/2013,put,35,A,0.02,,0.08,,0,3,6/28/2013,-0.0249,0.013,-2.2383,0.6031,0.4344
A130720C00036000,A,7/20/2013,call,36,A,6.8,,6.9,,0,0,6/28/2013,0.987,0.01,-1.0632,0.3466,0.3259
A130720P00036000,A,7/20/2013,put,36,A,0.03,,0.08,,0,20,6/28/2013,-0.0314,0.0174,-2.453,0.7308,0.393
A130720C00037000,A,7/20/2013,call,37,A,5.75,,6.45,,0,0,6/28/2013,0.9698,0.0203,-2.0698,0.7074,0.3259
A130720P00037000,A,7/20/2013,put,37,A,0.06,,0.09,,0,19,6/28/2013,-0.0461,0.0256,-3.1147,0.9985,0.3653
A130720C00038000,A,7/20/2013,call,38,A,4.8,,5.45,,0,0,6/28/2013,0.9381,0.0362,-3.6129,1.2613,0.3259
A130720P00038000,A,7/20/2013,put,38,A,0.08,,0.11,,0,272,6/28/2013,-0.0625,0.0364,-3.5474,1.2708,0.327
A130720C00039000,A,7/20/2013,call,39,A,3.85,,4.1,,0,0,6/28/2013,0.8868,0.057,-5.6251,1.9843,0.3259
A130720P00039000,A,7/20/2013,put,39,A,0.13,,0.16,,0,266,6/28/2013,-0.0961,0.0548,-4.5258,1.7627,0.3009
A130720C00040000,A,7/20/2013,call,40,A,2.97,,3.1,,10,0,6/28/2013,0.8378,0.0816,-6.4088,2.5375,0.2911
A130720P00040000,A,7/20/2013,put,40,A,0.22,,0.24,,45,2277,6/28/2013,-0.1507,0.0818,-5.6975,2.4164,0.2765
A130720C00041000,A,7/20/2013,call,41,A,2.12,,2.19,,3,32,6/28/2013,0.7599,0.1163,-7.1935,3.2141,0.2586
A130720P00041000,A,7/20/2013,put,41,A,0.36,,0.39,,3,1140,6/28/2013,-0.2364,0.1175,-6.8935,3.1869,0.2539
A130720C00042000,A,7/20/2013,call,42,A,1.39,,1.44,,5,162,6/28/2013,0.633,0.1512,-8.0925,3.8928,0.2409
A130720P00042000,A,7/20/2013,put,42,A,0.62,,0.65,,29,2448,6/28/2013,-0.3655,0.1532,-7.8537,3.8874,0.2375
A130720C00043000,A,7/20/2013,call,43,A,0.81,,0.85,,2,526,6/28/2013,0.4716,0.169,-8.0695,4.1137,0.2278
A130720P00043000,A,7/20/2013,put,43,A,1.03,,1.07,,82,3060,6/28/2013,-0.5291,0.1714,-7.8381,4.1131,0.2246
A130720C00044000,A,7/20/2013,call,44,A,0.42,,0.45,,25,531,6/28/2013,0.3066,0.1537,-6.8931,3.6293,0.2209
A130720P00044000,A,7/20/2013,put,44,A,1.62,,1.68,,36,400,6/28/2013,-0.698,0.1563,-6.5687,3.6049,0.2158
A130720C00045000,A,7/20/2013,call,45,A,0.19,,0.22,,10,437,6/28/2013,0.1734,0.1139,-4.9582,2.6505,0.2178
A130720P00045000,A,7/20/2013,put,45,A,2.39,,2.46,,42,432,6/28/2013,-0.8327,0.114,-4.6019,2.5886,0.2125
A130720C00046000,A,7/20/2013,call,46,A,0.08,,0.11,,10,528,6/28/2013,0.0913,0.0716,-3.2278,1.6964,0.2217
A130720P00046000,A,7/20/2013,put,46,A,3.25,,3.35,,18,490,6/28/2013,-0.9356,0.0623,-2.0559,1.3008,0.1954
A130720C00047000,A,7/20/2013,call,47,A,0.03,,0.07,,1,420,6/28/2013,0.0492,0.0424,-2.0977,1.0528,0.2323
A130720P00047000,A,7/20/2013,put,47,A,3.7,,4.35,,0,148,6/28/2013,-0.9758,0.0281,-0.8559,0.5873,0.1954
A130720C00048000,A,7/20/2013,call,48,A,0.02,,0.05,,1,435,6/28/2013,0.0328,0.0278,-1.654,0.7564,0.255
A130720P00048000,A,7/20/2013,put,48,A,4.65,,5.3,,0,142,6/28/2013,-0.9922,0.0106,-0.2383,0.2206,0.1954
A130720C00049000,A,7/20/2013,call,49,A,0.02,,0.04,,0,284,6/28/2013,0.0266,0.0208,-1.5603,0.6365,0.2859
A130720P00049000,A,7/20/2013,put,49,A,5.65,,6.3,,0,10,6/28/2013,-0.9979,0.0033,0.0173,0.0697,0.1954
A130720C00050000,A,7/20/2013,call,50,A,0,,0.03,,0,194,6/28/2013,0.013,0.0112,-0.8497,0.3467,0.2859
A130720P00050000,A,7/20/2013,put,50,A,6.65,,7.35,,0,10,6/28/2013,-0.9995,0.0009,0.1054,0.0188,0.1954
A130720C00052500,A,7/20/2013,call,52.5,A,0,,0.03,,0,68,6/28/2013,0.0017,0.0018,-0.1377,0.0562,0.2859
A130720P00052500,A,7/20/2013,put,52.5,A,8.15,,11.35,,0,0,6/28/2013,-1,0,0.1429,0.0004,0.1954
A130720C00055000,A,7/20/2013,call,55,A,0,,0.03,,0,10,6/28/2013,0.0002,0.0002,-0.0153,0.0062,0.2859
A130720P00055000,A,7/20/2013,put,55,A,10.65,,12.5,,0,0,6/28/2013,-1,0,0.1505,0,0.1954
A130817C00021000,A,8/17/2013,call,21,A,20.25,,23.45,,0,0,6/28/2013,1,0,-0.058,0.0004,0.4456
A130817P00021000,A,8/17/2013,put,21,A,0,,0.03,,0,41,6/28/2013,0,0,-0.0008,0.0005,0.4542
A130817C00022000,A,8/17/2013,call,22,A,19.15,,22.9,,0,0,6/28/2013,1,0,-0.0621,0.0011,0.4456
A130817P00022000,A,8/17/2013,put,22,A,0,,0.03,,0,10,6/28/2013,0,0,-0.0027,0.0016,0.4542
A130817C00023000,A,8/17/2013,call,23,A,18.15,,21.4,,0,0,6/28/2013,0.9999,0,-0.0687,0.0035,0.4456
A130817P00023000,A,8/17/2013,put,23,A,0,,0.04,,0,0,6/28/2013,-0.0001,0,-0.0077,0.0046,0.4542
A130817C00024000,A,8/17/2013,call,24,A,17.15,,20.6,,0,0,6/28/2013,0.9998,0.0001,-0.081,0.0092,0.4456
A130817P00024000,A,8/17/2013,put,24,A,0,,0.04,,0,0,6/28/2013,-0.0002,0.0001,-0.0197,0.0117,0.4542
A130817C00025000,A,8/17/2013,call,25,A,16.1,,18.4,,0,0,6/28/2013,0.9996,0.0002,-0.1048,0.0221,0.4456
A130817P00025000,A,8/17/2013,put,25,A,0.01,,0.05,,0,285,6/28/2013,-0.0005,0.0002,-0.0455,0.0271,0.4542
A130817C00026000,A,8/17/2013,call,26,A,15.05,,17.45,,0,0,6/28/2013,0.9991,0.0004,-0.1503,0.048,0.4456
A130817P00026000,A,8/17/2013,put,26,A,0.01,,0.06,,0,263,6/28/2013,-0.0011,0.0005,-0.096,0.0572,0.4542
A130817C00027000,A,8/17/2013,call,27,A,14.3,,16.45,,0,0,6/28/2013,0.9981,0.0009,-0.2321,0.0961,0.4456
A130817P00027000,A,8/17/2013,put,27,A,0,,0.08,,0,248,6/28/2013,-0.0023,0.001,-0.187,0.1114,0.4542
A130817C00028000,A,8/17/2013,call,28,A,13.35,,15.45,,0,0,6/28/2013,0.9962,0.0016,-0.3699,0.1782,0.4456
A130817P00028000,A,8/17/2013,put,28,A,0.01,,0.08,,0,289,6/28/2013,-0.0044,0.0018,-0.3388,0.202,0.4542
A130817C00029000,A,8/17/2013,call,29,A,12.35,,14.5,,0,0,6/28/2013,0.9929,0.0028,-0.5869,0.3084,0.4456
A130817P00029000,A,8/17/2013,put,29,A,0.01,,0.08,,0,213,6/28/2013,-0.008,0.0031,-0.5749,0.3427,0.4542
A130817C00030000,A,8/17/2013,call,30,A,12.75,,13.45,,0,0,6/28/2013,0.9877,0.0046,-0.9076,0.5017,0.4456
A130817P00030000,A,8/17/2013,put,30,A,0.02,,0.08,,0,225,6/28/2013,-0.0136,0.0049,-0.9187,0.5477,0.4542
