symbol,open,high,low,close,volume,adjust_close
A,43.000001,43.309999,42.729999,42.759999,7767700,
AA,7.829992,7.879992,7.779992,7.819992,4842000,
AAMRQ,3.97,4.11,3.95,4.03,2699500,
AAN,28.139999,28.42,27.98,28.01,696400,
AAON,33.109988,33.779994,31.999996,33.079995,438800,
AAP,80.010002,81.75,79.699997,81.169998,831400,
AAPL,391.360012,400.269989,388.869995,396.53001,144629100,
AAT,31.1,31.110001,30.74,30.860001,226500,
AAU,1.22,1.42,1.22,1.41,215000,
AAV,3.86,3.95,3.83,3.94,115200,
AAWW,43.73,44.610001,43.68,43.759998,325300,
AAXJ,54.48,54.869999,54.259998,54.77,684300,
AB,21.709999,21.77,20.59,20.82,484200,
ABAX,46.669998,47.970001,46.5,47.509998,177200,
ABB,21.68,21.74,21.549999,21.66,1386800,
ABBV,42.529999,42.970001,41.32,41.34,10753100,
ABC,55.5,56.330002,55.029999,55.830002,3350300,
ABCO,54.41,55.310001,53.950001,54.650002,167900,
ABFS,22,23.45,22,22.95,2013100,
ABG,40.009998,40.66,39.880001,40.099998,403300,
ABM,24.59,24.99,24.48,24.51,458400,
ABMD,21.299999,21.75,21.299999,21.559999,671700,
ABR,6.25,6.37,6.05,6.28,191400,
ABT,35.299999,35.82,34.869999,34.880001,20356100,
ABV,35.68,38.08,35.67,37.35,35943000,
ABX,14.73,15.92,14.67,15.74,31004700,
ACAD,18.43,18.559999,17.809999,18.15,12198700,
ACAS,12.58,12.73,12.4,12.67,6478000,
ACAT,46,46.060001,44.91,44.98,150300,
ACC,40.880001,41.27,40.599998,40.66,1510000,
ACCO,6.5,6.59,6.34,6.36,2687100,
ACE,89.239998,89.949997,88.699997,89.480003,1511100,
ACET,13.73,14.2,13.53,13.93,400300,
ACFN,8.61,8.62,8.4,8.44,160100,
ACGL,51.43,51.650002,51.150002,51.41,560400,
ACH,7.9,7.91,7.71,7.86,133100,
ACHC,34.189999,34.599998,32.740002,33.07,1554100,
ACHN,8.22,8.26,8.12,8.18,3781800,
ACI,3.82,3.9,3.64,3.78,1423300,
ACIW,45.850001,46.909999,45.780001,46.479999,1363500,
ACLS,1.79,1.83,1.71,1.82,245900,
ACM,31.51,31.91,31.190001,31.790001,1340300,
ACMP,48.18,48.21,47.21,47.7,300200,
ACN,71.800003,72.25,69,71.959999,28284300,
ACO,31.57,32.01,31.39,31.69,676300,
ACOR,33.360001,33.48,32.830002,32.990002,331300,
ACRE,12.7,13,12.7,12.81,953800,
ACRX,8.94,9.35,8.89,9.27,3061900,
ACT,124.980003,127.559998,124.980003,126.220001,1918800,
ACTG,22,22.719999,21.389999,22.35,1647400,
ACTV,7.22,7.57,7.19,7.57,2621400,
ACUR,1.92,1.93,1.85,1.88,1137877,
ACW,5.05,5.13,4.98,5.06,1975200,
ACWI,50.080002,50.279999,49.82,50,2171600,
ACXM,22.76,22.91,22.4,22.68,1937600,
ADBE,45.990002,45.990002,45.389999,45.560001,4052600,
ADC,30.01,30.040001,29.51,29.52,85900,
ADES,41.14,42.22,40.97,42.12,422600,
ADI,45.139999,45.310001,44.619999,45.060001,3925900,
ADM,33.57,34.220001,33.5,33.91,4589000,
ADNC,13.85,13.98,13.14,13.21,625800,
ADP,68.910003,69.370002,68.500002,68.860002,3545400,
ADS,179.669998,182.649994,179.509995,181.029999,1316100,
ADSK,34.610001,34.619999,33.869999,33.939999,4020300,
ADT,40.330002,40.630001,39.799999,39.849998,4006800,
ADTN,24.280001,24.860001,23.889999,24.620001,1582400,
ADVS,34.84,35.400002,34.52,35.060001,294800,
AEC,16.030001,16.299999,15.89,16.08,1617400,
AEE,34.23,34.669998,34.130001,34.439999,1876000,
AEG,6.72,6.78,6.69,6.76,1714300,
AEGN,22.6,22.83,22.48,22.51,363600,
AEGR,66.480003,66.730003,63.34,63.34,667300,
AEIS,17.459999,17.57,17.34,17.41,1587100,
AEL,15.74,15.78,15.61,15.7,966500,
AEM,25.15,27.940001,25,27.540001,3529400,
AEO,18.059999,18.360001,18.049999,18.26,2102900,
AEP,44.529999,45.049999,44.34,44.779999,3285000,
AER,17.309999,17.65,17.280001,17.459999,659900,
AERL,3.94,4.28,3.93,4.2,569200,
AES,11.98,12.11,11.87,11.99,7134900,
AET,63.650002,64.129997,63.299999,63.540001,2761600,
AF,10.7,10.83,10.61,10.78,740200,
AFAM,18.299999,19.139999,17.66,19.09,362900,
AFCE,35.21,36.39,35.01,35.94,616600,
AFFX,4.38,4.52,4.32,4.44,1366300,
AFFY,1.02,1.05,1,1.03,719900,
AFG,48.709999,49.150002,48.41,48.91,462500,
AFL,58.049999,58.540001,57.450001,58.119999,2605500,
AFSI,35.22,35.92,34.9,35.699999,2260800,
AG,9.4,10.64,9.34,10.59,2420900,
AGCO,51.23,51.43,50.049999,50.189999,1874900,
AGEN,3.8,3.96,3.73,3.79,3406800,
AGG,106.93,107.349998,106.849998,107.209999,2674000,
AGII,42.48,42.929998,42.200007,42.389997,826000,
AGM,28.92,29.07,28.65,28.879999,41800,
AGN,124.980003,127.559998,124.980003,126.220001,1918800,
AGNC,22.77,23.059999,22.540001,23.01,6848900,
AGO,22.110001,22.18,21.82,22.059999,1418100,
AGQ,15.33,17.059999,15.31,17,1181000,
AGRO,6.37,6.48,6.23,6.25,308300,
AGU,85.940002,87.879997,85.940002,86.959999,962700,
AGX,16.049999,16.1,15.54,15.6,526400,
AGYS,11.93,11.93,11.08,11.29,290000,
AH,18.9,19.7,18.9,19.4,219800,
AHGP,62.880001,64.25,62.279999,63.75,15000,
AHH,11.43,11.78,11.37,11.78,1659800,
AHL,37.119999,37.389999,37,37.09,585300,
AHS,14.27,14.37,14.08,14.32,1086700,
AHT,11.280005,11.489993,11.059997,11.449993,2471100,
AI,26.379999,26.780001,26.16,26.74,240600,
AIG,44.380001,45.110001,44.07,44.700001,39987400,
AIMC,27.35,27.950001,27.209999,27.379999,549400,
AIN,33.580002,33.810001,32.959999,32.98,348800,
AINV,7.73,7.78,7.66,7.74,2265600,
AIR,21.799999,22.17,21.76,21.98,309500,
AIRM,35.099998,35.099998,33.849998,33.860001,548700,
AIT,48.310001,48.810001,48.07,48.330002,311700,
AIV,29.940001,30.290001,29.690001,30.040001,1250700,
AIXG,16.719999,16.870001,16.65,16.780001,41300,
AIZ,50.849998,51.419998,50.490002,50.91,746000,
AJG,43.860001,44.049999,43.619999,43.689999,615400,
AKAM,42.43,43,42.279999,42.549999,1660100,
AKG,2.05,2.22,2.05,2.1,180700,
AKRX,13.77,13.84,13.51,13.52,528700,
AKS,3.01,3.06,2.97,3.04,4957500,
AL,27.309999,27.799999,27.049999,27.59,823000,
ALB,62.57,63.790001,61.709999,62.290001,996300,
ALC,11.96,12,11.95,11.96,256300,
ALDW,23.65,24.77,23.65,23.799999,389200,
ALE,49.310001,50.099998,48.799999,49.849998,232900,
ALEX,39.84,40.209999,37.450001,39.75,3322100,
ALGN,36.709999,37.380001,36.139999,37.040001,863200,
ALGT,105.370003,107.199997,104.690002,105.989998,170400,
ALIM,4.83,5.01,4.71,4.88,2056400,
ALJ,14.8,14.95,14.35,14.46,1920100,
ALK,52.049999,52.900002,51.459999,52,13313200,
ALKS,28.809999,29.620001,28.66,28.68,15155100,
ALL,48.299999,48.57,48.099998,48.119999,3726300,
ALLT,13.69,13.78,13.36,13.71,538400,
ALNY,30.809999,31.16,30.65,31,553600,
ALOG,72.589996,73.190002,72.129997,72.830002,271800,
ALR,24.52,24.84,24.440001,24.5,889500,
ALSK,1.73,1.74,1.68,1.69,393600,
ALSN,23.24,23.549999,23.059999,23.08,672600,
ALTR,32.790001,33.369999,32.75,32.990002,5432500,
ALU,1.83,1.84,1.78,1.82,7232100,
ALV,76.629997,77.849998,76.620003,77.389999,443400,
ALXA,4.32,4.41,4.22,4.34,215500,
ALXN,93.139999,93.919998,92.07,92.239998,1272900,
AM,18.24,18.27,18.19,18.22,277800,
AMAG,23.09,23.450001,22.200001,22.25,327900,
AMAT,14.87,14.99,14.62,14.92,25016600,
AMBA,16.07,16.9,16.030001,16.83,2523100,
AMBC,23.35,24.02,23.299999,23.83,6909000,
AMCC,9.11,9.14,8.77,8.8,3176100,
AMCN,1.85,1.85,1.78,1.84,31400,
AMCX,64.790001,65.720001,64.620003,65.330002,992300,
AMD,4.08,4.12,4.02,4.08,13329600,
AME,42,42.490002,41.700001,42.299999,1932700,
AMED,10.17,12.15,9.51,11.6,3127300,
AMG,160.050003,163.940002,158.410004,163.940002,999800,
AMGN,98.739998,99.879997,97.779999,98.660004,5269700,
AMJ,47.880001,47.880001,46.599998,46.639999,764300,
AMKR,4.17,4.24,4.11,4.21,2670400,
AMLP,17.85,17.9,17.77,17.85,2597600,
AMP,81.400002,81.419998,80.43,80.879997,1806900,
AMPE,5.68,5.79,5.64,5.77,287400,
AMRC,8.78,9.01,8.72,9.01,618700,
AMRI,12.25,12.25,11.82,11.87,3393100,
AMRN,5.64,5.88,5.57,5.8,2757100,
AMRS,2.92,2.97,2.77,2.89,1384100,
AMSC,2.61,2.71,2.42,2.64,355600,
AMSG,35.18,35.470001,35.060001,35.099998,197800,
AMSWA,8.37,8.72,8.34,8.69,169800,
AMT,74.199997,74.220001,72.910004,73.169998,5954200,
AMTD,24.33,24.51,24.120001,24.290001,3318800,
AMTG,16.450001,16.59,16.280001,16.48,501600,
AMWD,34.709999,34.990002,34.529999,34.700001,400400,
AMX,20.92,21.77,20.709999,21.75,11019200,
AMZN,276.190002,279.829987,276.190002,277.690002,3193300,
AN,43.330002,43.830002,42.889999,43.389999,1390900,
ANAC,5.52,5.6,5.31,5.59,1055400,
ANAD,2.19,2.22,2.16,2.2,687800,
ANDE,52.780003,53.839994,51.99,53.189999,379800,
ANEN,22.78,23.13,22.63,22.94,282600,
ANF,44.970001,45.619999,44.91,45.25,1645200,
ANGI,26.52,26.790001,25.870001,26.559999,2196500,
ANGO,11.24,11.36,11.24,11.28,106400,
ANH,5.52,5.63,5.48,5.6,1352000,
ANIK,16.549999,17.110001,16.530001,17,289600,
ANN,32.970001,33.66,32.779999,33.200001,1472300,
ANR,5.03,5.24,4.95,5.24,28491000,
ANSS,74.050003,74.050003,72.709999,73.099998,571900,
ANV,5.45,6.48,5.42,6.48,11448900,
ANW,8.79,9.35,8.79,9.26,613900,
AOI,3.78,3.84,3.73,3.8,37000,
AOL,36.450001,37.080002,36.34,36.48,1253900,
AON,64.57,64.739998,63.950001,64.349998,3201800,
AOS,37.139999,37.240002,36.110001,36.279999,12604000,
AOSL,7.62,7.74,7.6,7.64,96800,
APA,83.610001,84.589996,83.290001,83.830002,3273100,
APAM,49.68,50.25,47.240002,49.91,751000,
APC,85.449997,86.75,85.169998,85.93,2454300,
APD,92.669999,93.169996,91.309999,91.569997,3278300,
APEI,37.720001,37.720001,37.119999,37.16,202600,
APH,79.389999,79.389999,77.940002,77.940002,2676600,
APL,38.47,38.75,38.19,38.19,338700,
APO,23.41,24.290001,23.200001,24.1,1192000,
